Lesson Name,Embed URL,BPM,Blocks
"Groove 1 — 30 BPM","https://drumlion-groove-generator.netlify.app/?groove=1&bpm=30",30,1
"Groove 1 — 31 BPM","https://drumlion-groove-generator.netlify.app/?groove=1&bpm=31",31,1
"Groove 1 — 32 BPM","https://drumlion-groove-generator.netlify.app/?groove=1&bpm=32",32,1
"Groove 1 — 33 BPM","https://drumlion-groove-generator.netlify.app/?groove=1&bpm=33",33,1
"Groove 1 — 34 BPM","https://drumlion-groove-generator.netlify.app/?groove=1&bpm=34",34,1
"Groove 1 — 35 BPM","https://drumlion-groove-generator.netlify.app/?groove=1&bpm=35",35,1
"Groove 1 — 36 BPM","https://drumlion-groove-generator.netlify.app/?groove=1&bpm=36",36,1
"Groove 1 — 37 BPM","https://drumlion-groove-generator.netlify.app/?groove=1&bpm=37",37,1
"Groove 1 — 38 BPM","https://drumlion-groove-generator.netlify.app/?groove=1&bpm=38",38,1
"Groove 1 — 39 BPM","https://drumlion-groove-generator.netlify.app/?groove=1&bpm=39",39,1
"Groove 1 — 40 BPM","https://drumlion-groove-generator.netlify.app/?groove=1&bpm=40",40,1
"Groove 1 — 41 BPM","https://drumlion-groove-generator.netlify.app/?groove=1&bpm=41",41,1
"Groove 1 — 42 BPM","https://drumlion-groove-generator.netlify.app/?groove=1&bpm=42",42,1
"Groove 1 — 43 BPM","https://drumlion-groove-generator.netlify.app/?groove=1&bpm=43",43,1
"Groove 1 — 44 BPM","https://drumlion-groove-generator.netlify.app/?groove=1&bpm=44",44,1
"Groove 1 — 45 BPM","https://drumlion-groove-generator.netlify.app/?groove=1&bpm=45",45,1
"Groove 1 — 46 BPM","https://drumlion-groove-generator.netlify.app/?groove=1&bpm=46",46,1
"Groove 1 — 47 BPM","https://drumlion-groove-generator.netlify.app/?groove=1&bpm=47",47,1
"Groove 1 — 48 BPM","https://drumlion-groove-generator.netlify.app/?groove=1&bpm=48",48,1
"Groove 1 — 49 BPM","https://drumlion-groove-generator.netlify.app/?groove=1&bpm=49",49,1
"Groove 1 — 50 BPM","https://drumlion-groove-generator.netlify.app/?groove=1&bpm=50",50,1
"Groove 1 — 51 BPM","https://drumlion-groove-generator.netlify.app/?groove=1&bpm=51",51,1
"Groove 1 — 52 BPM","https://drumlion-groove-generator.netlify.app/?groove=1&bpm=52",52,1
"Groove 1 — 53 BPM","https://drumlion-groove-generator.netlify.app/?groove=1&bpm=53",53,1
"Groove 1 — 54 BPM","https://drumlion-groove-generator.netlify.app/?groove=1&bpm=54",54,1
"Groove 1 — 55 BPM","https://drumlion-groove-generator.netlify.app/?groove=1&bpm=55",55,1
"Groove 1 — 56 BPM","https://drumlion-groove-generator.netlify.app/?groove=1&bpm=56",56,1
"Groove 1 — 57 BPM","https://drumlion-groove-generator.netlify.app/?groove=1&bpm=57",57,1
"Groove 1 — 58 BPM","https://drumlion-groove-generator.netlify.app/?groove=1&bpm=58",58,1
"Groove 1 — 59 BPM","https://drumlion-groove-generator.netlify.app/?groove=1&bpm=59",59,1
"Groove 1 — 60 BPM","https://drumlion-groove-generator.netlify.app/?groove=1&bpm=60",60,1
"Groove 1 — 61 BPM","https://drumlion-groove-generator.netlify.app/?groove=1&bpm=61",61,1
